custo_medio_venda;faturamento_margem_lucro_liquido;percentual;preco_medio_venda;vei_peso_liquido;vei_produto_codigo_interno;vei_produto_nome;vei_produto_sku;vei_produto_unidade;vei_quantidade;vei_valor_total
8,32;17,856;2,37;9,806;0;4763;COCA COLA ORIGINAL 2L;;UN;282;2728,78
35,52;7,685;1,85;38,25;0;6700;CERVEJA AMSTEL LAGER 350ml  - CAIXA 12UN;;UN;56;2133,21
98,287;43,066;1,83;140,615;0;78983673;AZEITE DE OLIVA EXTRA VIRGEM VILLA GLORIA GL 5LT;;UN;15;2109,22
56,12;7,421;1,78;60,285;0;16797;CERVEJA  HEINEKEN LATA 350ML 12UNID;;UN;34;2049,68
5,3;24,819;1,65;6,615;0;14802;OLEO DE SOJA ABC 900ml;;UN;291;1893,23
2,34;28,205;1,23;3;0;483431943;CERVEJA BRAHMA 269ml - UNITARIA;9484;UN;472;1415,68
16,08;26,732;1,15;20,378;0;19230;CARTELA DE 30 OVOS BRANCOS - PENA REAL;;UN;65;1324,6
1,05;88,796;1,13;1,982;0;17229;AGUA MINERAL LA PRIORI SEM GAS 500ML;;UN;680;1303,63
1,98;102,02;1,1;4;0;6164;CRISTALINA AGUA SEM GAS 1,5LTS;;UN;315;1259,96
38,14;4,851;1,08;39,99;0;5375;CERVEJA BRAHMA 269mL - CAIXA 15un;;UN;31;1239,69
6;66,5;1,08;9,99;0;6466;GELO EM CUBOS;;UN;124;1238,76
8,37;19,355;1,03;9,99;0;5191;COCA COLA ZERO AÇUCAR 2 LTS;;UN;119;1188,81
2,1;42,857;1,01;3;0;8308;CERVEJA ANTARCTICA LATA 269ml - UNITARIA;;UN;389;1166,77
27,6;28,214;0,95;35,387;0;14992;CERVEJA AMSTEL 269ml - CAIXA 12un;;UN;31;1097
8;25;0,84;10;0;14;LEITE DE GARRAFA 2lts;;UN;97;970
33;10,576;0,79;36,49;0;4873;CERVEJA BRAHMA 350ml - CAIXA 12un;;CX;25;912,19
7,388;40,305;0,72;10,365;0;8183;MUSSARELA FATIADA PIRACANJUBA 150G;;UN;80;829,06
9;64,614;0,66;14,815;0;16604;JS CARVAO PEQUENO 2,5kg;;UN;51;755,58
21,9;36,758;0,65;29,95;0;78983774;KETCHUP HEINZ - CAIXA COM SACHES;;UN;25;748,75
30,88;29,501;0,63;39,99;0;7210;CERVEJA ANTARCTICA 269ml - CAIXA 15un;;UN;18;719,82
4,95;41,414;0,61;7;0;15073;CERVEJA STELLA ARTOIS PURE GOLD 330ml;;UN;100;700
26,59;31,628;0,58;35;0;17787;COCA COLA LATA  ORIGINAL 310ml - CAIXA 12un ;;UN;19;665
6,07;18,853;0,49;7,214;0;13482;OLEO DE SOJA BREJEIRO 900 ML;;UN;78;562,72
16,5;36,303;0,49;22,49;0;26253235650;FILE DE PEITO JAGUA Bandeja 1kg;;UN;25;562,25
5,18;44,788;0,48;7,5;0;4706;CACHAÇA 29 600ML;;UN;73;547,5
4,79;25,052;0,47;5,99;0;5003;LEITE  INTEGRAL PIRACANJUBA 1LT;;UN;91;545,09
34,5;15,913;0,45;39,99;0;16252;CERVEJA HEINEKEN 330ML 6UN;;UN;13;519,87
2,39;67,364;0,43;4;0;10537;COCA COLA LATA 310ml - UNITARIA;;UN;125;500
11,06;44,575;0,43;15,99;0;13629;FILEZINHO SASSAMI JAGUA 700g;;UN;31;495,69
2,1;42,857;0,43;3;0;483432048;AGUA INDAIA COM GAS 500ml;;UN;164;492
5,62;95,552;0,42;10,99;0;10367;AGUA MINERAL CRISTALINA 5LITROS;;UN;44;483,56
3,29;15,66;0,41;3,805;0;26253235835;Mortadela Boua 400g;;UN;123;468,04
2,3;52,174;0,4;3,5;0;6301;RUPPERS PIPOCA DOCE 90g;;UN;130;455
27,296;11,441;0,37;30,419;0;5017;ARROZ CRISTAL 5KG;;UN;14;425,86
4,39;26,855;0,37;5,569;0;6062;COMPLEITE LEITE INTEGRAL 1LT;;UN;76;422,43
17,419;14,759;0,36;19,99;0;2685;CAFE EM PO RANCHEIRO TRADICIONAL 250G;;UN;21;419,79
23,88;8,878;0,36;26;0;6276;CERVEJA ITAIPAVA 269ml - CAIXA 12un;;UN;16;416
16,14;61,029;0,36;25,99;0;18388;MORTADELA TUBOLAR  SABOREAR 3,5KG;;UN;16;415,84
4,65;72,043;0,35;8;0;4826;CERVEJA HEINEKEN LONG NECK 330ML;;UN;51;407,76
7,23;25,6;0,35;9,081;0;14789;CARTELA DE 12 OVOS BRANCOS - PENA REAL;;UN;44;399,56
4,99;30,06;0,34;6,49;0;4752;REFRI SUKITA LARANJA 2L;;UN;61;395,89
31,65;13,712;0,34;35,99;0;2681;CAFE DO CE 500G;;UN;11;395,89
4,074;59,541;0,34;6,5;0;11897;CERVEJA HEINEKEN SHOT 250ML;;UN;62;387,48
3,49;42,98;0,33;4,99;0;19589;CERVEJA SPATEN 350ML;;UN;77;384,23
34,15;8,316;0,32;36,99;0;6120;CERVEJA ANTARCTICA 350ml - CAIXA 12un;;UN;10;369,9
9,716;35,171;0,32;13,133;0;4707;CACHAÇA 51 965ML;;UN;28;367,72
16,73;28,452;0,32;21,49;0;17916;FILE DE TILAPIA CAMPONELLA 400G;;UN;17;365,33
34;-23,349;0,32;26,061;0;3696;GALLO AZEITE DE OLIVA TIPO UNICO 500ml;;UN;14;364,86
10,18;32,515;0,32;13,49;0;17038;ANEIS DE CEBOLA BEM BRASIL 400g;;UN;27;364,23
